name,brand,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water_per_100g,portion_name,portion_grams,source,external_id
Antojitos Quesadilla De Papa Con Queso Y Chorizo,,186.99,4.35,26.12,4.79,1.06,61.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3123
Antojitos Quesadilla De Papa Con Queso Y Chorizo,,191.13,3.64,27.05,5.44,0.31,62.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),3124
Antojitos Quesadilla De Pollo,,194.65,9.83,23.03,4.16,0.63,60.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3125
Antojitos Quesadilla De Pollo,,240.62,19.72,21.77,15.91,0.28,41.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),3126
Antojitos Quesadilla De Pollo,,185.98,12.41,21.35,2.57,0.42,61.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3127
Antojitos Quesadilla De Pollo,,317.41,19.77,19.51,13.28,0.11,44.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3128
Antojitos Quesadilla De Pollo,,186.3,10.72,16.56,10.19,0.37,60.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3129
Antojitos Quesadilla De Pollo,,170.1,8.81,20.07,2.32,2.12,65.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3130
Antojitos Quesadilla De Pollo,,217.55,10.82,21.38,7.17,0.77,58.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3131
Antojitos Quesadilla De Pollo,,220.38,14.88,27.61,2.05,0.43,53.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),3132
Antojitos Quesadilla De Pollo,,176.72,13.63,17.36,2.6,0.12,64.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3133
Antojitos Quesadilla De Pollo (Tinga),,230.08,8.48,21.12,10.66,0.3,57.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3134
Antojitos Quesadilla De Queso,,276.3,17.47,24.63,9.1,0.44,46.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),3135
Antojitos Quesadilla De Queso,,302.43,12.34,26.79,10.52,0.36,47.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3136
Antojitos Quesadilla De Queso,,359.46,14.46,23.67,19.11,0.23,40.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),3137
Antojitos Quesadilla De Queso,,328.02,13.55,24.52,16.12,0.18,43.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3138
Antojitos Quesadilla De Queso,,360.47,16.3,21.54,18.32,0.12,39.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3139
Antojitos Quesadilla De Queso,,352.31,13.66,27.39,16.31,0.36,39,,,INCMNSZ/CONABIO 2019 (fibra bruta),3140
Antojitos Quesadilla De Queso,,275.13,8.37,30.27,9.94,0.42,49.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),3141
Antojitos Quesadilla De Queso,,305.86,15.95,23.05,12.8,0.3,44.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3142
Antojitos Quesadilla De Queso,,279.98,12.16,27.12,11.35,0.37,47,,,INCMNSZ/CONABIO 2019 (fibra bruta),3143
Antojitos Quesadilla De Queso,,283,12.5,21.69,11.59,0.28,51.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3144
Antojitos Quesadillas De Cacaxtla,,203,10.1,20.88,8.73,0.61,57.57,,,INCMNSZ/CONABIO 2019 (fibra bruta),3104
Antojitos Sope Con Bisteck,,254.42,10.32,18.2,12.78,0.27,56.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),3145
Antojitos Sope Con Bisteck,,221.71,12.77,13.22,10.53,0.18,61.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3146
Antojitos Sope Con Bisteck,,236.79,10.7,20.49,9.45,0.65,57.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3147
Antojitos Sope Con Bisteck,,266.62,8.49,19.55,14.67,0.28,55.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3148
Antojitos Sope Con Bisteck,,245.37,14.17,17.74,10.99,0.28,54.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3149
Antojitos Sope Con Bisteck,,239.73,11.41,18.38,10.89,0.3,56.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),3150
Antojitos Sope Con Bisteck,,258.34,10.35,22.79,11.23,0.51,52.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3151
Antojitos Sope Con Bisteck,,292.12,16.77,12.91,15.87,0.2,52.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3152
Antojitos Sope Con Bisteck,,311.09,10.98,26.33,13.74,0.56,46.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3153
Antojitos Sope Con Bisteck,,237.68,12.45,18.33,8.56,0.23,58.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3154
Antojitos Sope Sencillo,,240.62,6.51,22.59,11.46,0.25,57.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3155
Antojitos Sope Sencillo,,179.23,5.04,18.05,8.57,0.14,67,,,INCMNSZ/CONABIO 2019 (fibra bruta),3156
Antojitos Sope Sencillo,,250.64,4.43,28.53,12.12,0.4,52.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3157
Antojitos Sope Sencillo,,241.74,5.47,25.94,12.9,0.53,53.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3158
Antojitos Sope Sencillo,,139.16,2.23,22.68,3.61,0.35,69.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3159
Antojitos Sope Sencillo,,198.8,5.5,19.83,8.2,0.36,64,,,INCMNSZ/CONABIO 2019 (fibra bruta),3160
Antojitos Sope Sencillo,,208.44,4.18,29.05,7.96,0.78,55.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3161
Antojitos Sope Sencillo,,229.65,4.85,22.3,11.34,1.94,58.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3162
