name,brand,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water_per_100g,portion_name,portion_grams,source,external_id
Pierna de pollo con piel cocida,,219.4444,24.1667,0,12.7778,0,0,pieza,108,SMAE 2014,SMAE2014:A_O_A_MODERADOS_EN_GRASA:44
Pierna y mueslo de pollo con piel,,185,18,0,12,0,0,pieza,200,SMAE 2014,SMAE2014:A_O_A_MODERADOS_EN_GRASA:45
Piloncillo,,360,0,91,0,0,0,,,SMAE 2014,SMAE2014:AZUCARES_SIN_GRASA:96
Piloncillo rallado,,360,0,91,0,0,0,cucharada,10,SMAE 2014,SMAE2014:AZUCARES_SIN_GRASA:97
Pilopo crudo,,82.2222,14.8889,2.2222,1.1111,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:209
Pimentón,,300,15,55,15,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:158
Pimienta,,250,10,65,5,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:159
Pimienta blanaca entera,,225,10,57.5,5,0,0,cucharadita,4,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:162
Pimienta blanaca molida,,300,10,70,0,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:163
Pimienta blanca,,300,10,70,0,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:160
Pimienta blanca en polvo,,300,10,70,0,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:161
Pimienta de cayena,,300,10,55,15,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:164
Pimienta de tabasco,,300,10,55,15,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:165
Pimienta gorda,,225,10,57.5,5,0,0,cucharadita,4,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:166
Pimienta molida,,250,10,65,5,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:167
Pimienta nagra molida,,250,10,65,5,0,0,cucharadita,2,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:171
